active,area,configid,lat,long,meter number,sub area,zone
1,Route 01,1675,39.962906,-83.00446,NG21,Marconi Blvd,"Columbus, OH Default Zone"
0,Route 01,979,39.96554,-83.00496,NG211,Marconi Blvd,"Columbus, OH Default Zone"
1,Route 01,979,39.964775,-83.003365,WR106,Long St W,"Columbus, OH Default Zone"
0,Route 01,9214,39.965843,-83.00304,NI102,Front St N,"Columbus, OH Default Zone"
1,Route 08,982,39.959743,-82.99262,EI312,TOWN ST E,"Columbus, OH Default Zone"
1,Route 08,982,39.959534,-82.99446,EI236,TOWN ST E,"Columbus, OH Default Zone"
1,Route 07,979,39.961178,-82.998795,WAA9,VINE ST W,"Columbus, OH Default Zone"
1,Route 08,982,39.961178,-82.994095,SQ101,FIFTH ST S,"Columbus, OH Default Zone"
1,Route 08,982,39.961742,-82.9942,SQ61,FIFTH ST S,"Columbus, OH Default Zone"
1,Route 08,982,39.960693,-82.99487,EK225,STATE ST E,"Columbus, OH Default Zone"
1,Route 07,979,39.97149,-83.00304,WAA11,VINE ST W,"Columbus, OH Default Zone"
1,Route 08,982,39.961796,-82.99421,SQ59,FIFTH ST S,"Columbus, OH Default Zone"
1,Route 07,979,39.961178,-82.998795,WAA3,VINE ST W,"Columbus, OH Default Zone"
1,Route 08,4266,39.9617,-82.99364,EL304,OAK ST E,"Columbus, OH Default Zone"
1,Route 07,979,39.961178,-82.998795,WAA56,VINE ST W,"Columbus, OH Default Zone"
1,Route 07,979,39.961178,-82.998795,WAA58,VINE ST W,"Columbus, OH Default Zone"
1,Route 08,982,39.962044,-82.994255,SQ51,FIFTH ST S,"Columbus, OH Default Zone"
0,Route 07,979,39.972366,-83.00398,WBB70,SPRUCE ST W,"Columbus, OH Default Zone"
1,Route 08,982,39.9621,-82.994125,SQ50,FIFTH ST S,"Columbus, OH Default Zone"
1,Route 08,982,39.960785,-82.99533,EK202,STATE ST E,"Columbus, OH Default Zone"
1,Route 08,982,39.961975,-82.9941,SQ54,FIFTH ST S,"Columbus, OH Default Zone"
1,Route 08,982,39.96112,-82.99408,SQ103,FIFTH ST S,"Columbus, OH Default Zone"
1,Route 08,982,39.96185,-82.99408,SQ58,FIFTH ST S,"Columbus, OH Default Zone"
1,Route 07,979,39.972347,-83.00348,WBB50,SPRUCE ST W,"Columbus, OH Default Zone"
